tconst,startYear,primaryTitle,CreativeType,ProductionBudget,DomesticBoxOffice,WorldwideBoxOffice,averageRating,ROI,PROI
tt13646484,2020,Point Break,Contemporary Fiction,"$100,000,000 ","$28,782,481 ","$126,704,591 ",7.1,"$26,704,591 ",0.27 
tt1386697,2016,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",5.9,"$570,744,980 ",3.26 
tt13875862,2021,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.2,"($25,684,211)",(0.86)
tt1392190,2015,Mad Max: Fury Road,Science Fiction,"$150,000,000 ","$153,636,354 ","$367,457,874 ",8.1,"$217,457,874 ",1.45 
tt1431045,2016,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",8.0,"$723,947,691 ",12.48 
tt1441106,2009,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",4.6,"$4,856,688 ",0.37 
tt1472584,2016,Max Steel,Science Fiction,"$10,000,000 ","$3,818,664 ","$4,563,080 ",4.6,"($5,436,920)",(0.54)
tt1483010,2010,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",6.0,"$487,202,315 ",3.84 
tt14844182,2021,Furious 7,Contemporary Fiction,"$190,000,000 ","$353,007,020 ","$1,514,553,486 ",8.0,"$1,324,553,486 ",6.97 
tt14852986,2021,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.0,"$4,856,688 ",0.37 
tt14934256,2021,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",8.6,"($25,684,211)",(0.86)
tt1502712,2015,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",4.3,"$47,849,187 ",0.40 
tt1575688,1999,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",5.8,"$61,989,781 ",5.64 
tt1591320,2010,The Great Wall,Historical Fiction,"$150,000,000 ","$45,157,105 ","$334,486,852 ",7.6,"$184,486,852 ",1.23 
tt1605904,1978,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.5,"$4,856,688 ",0.37 
tt1607319,2010,The Great Wall,Historical Fiction,"$150,000,000 ","$45,157,105 ","$334,486,852 ",8.3,"$184,486,852 ",1.23 
tt1617661,2015,Jupiter Ascending,Science Fiction,"$179,000,000 ","$47,482,519 ","$181,982,519 ",5.3,"$2,982,519 ",0.02 
tt1618442,2015,The Last Witch Hunter,Fantasy,"$80,000,000 ","$27,367,660 ","$130,818,912 ",5.9,"$50,818,912 ",0.64 
tt1628841,2016,Independence Day: Resurgence,Science Fiction,"$165,000,000 ","$103,144,286 ","$384,169,424 ",5.2,"$219,169,424 ",1.33 
tt16449394,2022,Collide,Contemporary Fiction,"$29,200,000 ","$2,280,004 ","$5,466,698 ",7.0,"($23,733,302)",(0.81)
tt16542412,2021,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",7.6,"$368,058,826 ",2.45 
tt1715145,2003,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.3,"$4,856,688 ",0.37 
tt1738427,2010,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.6,"$4,856,688 ",0.37 
tt1740828,2011,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",4.2,"$668,058,221 ",4.45 
tt1754838,2011,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",5.7,"$4,856,688 ",0.37 
tt1772201,2011,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",5.8,"($25,684,211)",(0.86)
tt1788055,1991,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.7,"$4,856,688 ",0.37 
tt1798821,2010,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",1.1,"$4,856,688 ",0.37 
tt1823672,2015,Chappie,Science Fiction,"$49,000,000 ","$31,569,268 ","$105,002,056 ",6.8,"$56,002,056 ",1.14 
tt1874731,1987,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",6.6,"$61,989,781 ",5.64 
tt1949307,2011,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",7.4,"($25,684,211)",(0.86)
tt19853294,2022,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$676,354,481 ",7.6,"$511,354,481 ",3.10 
tt2009393,2011,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",7.3,"$487,202,315 ",3.84 
tt2034800,2016,The Great Wall,Historical Fiction,"$150,000,000 ","$45,157,105 ","$334,486,852 ",5.9,"$184,486,852 ",1.23 
tt2058673,2015,Point Break,Contemporary Fiction,"$100,000,000 ","$28,782,481 ","$126,704,591 ",5.3,"$26,704,591 ",0.27 
tt2062140,2009,Warcraft,Fantasy,"$160,000,000 ","$47,365,290 ","$438,899,824 ",5.0,"$278,899,824 ",1.74 
tt2103251,2009,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$879,500,760 ",7.3,"$579,500,760 ",1.93 
tt2112917,2011,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.0,"$4,856,688 ",0.37 
tt2126235,2016,Collide,Contemporary Fiction,"$29,200,000 ","$2,280,004 ","$5,466,698 ",5.6,"($23,733,302)",(0.81)
tt2132034,2012,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.2,"$4,856,688 ",0.37 
tt2163175,2001,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",7.2,"$368,058,826 ",2.45 
tt2198638,2012,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$614,202,315 ",8.0,"$487,202,315 ",3.84 
tt2199571,2015,Run All Night,Contemporary Fiction,"$50,000,000 ","$26,461,644 ","$71,561,644 ",6.6,"$21,561,644 ",0.43 
tt2231253,2015,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",5.6,"($25,684,211)",(0.86)
tt2250912,2017,Spider-Man: Homecoming,Super Hero,"$175,000,000 ","$334,201,140 ","$878,346,440 ",7.4,"$703,346,440 ",4.02 
tt2269724,2013,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$781,947,691 ",8.0,"$723,947,691 ",12.48 
tt2304933,2016,The 5th Wave,Science Fiction,"$38,000,000 ","$34,912,982 ","$111,336,398 ",5.2,"$73,336,398 ",1.93 
tt2351080,2012,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",6.2,"($25,684,211)",(0.86)
tt2379713,2015,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$879,500,760 ",6.8,"$579,500,760 ",1.93 
tt2388239,2007,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",8.0,"$47,849,187 ",0.40 
tt2395427,2015,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$1,395,316,979 ",7.3,"$1,030,316,979 ",2.82 
tt2446042,2014,Taken 3,Contemporary Fiction,"$48,000,000 ","$89,256,424 ","$327,656,424 ",6.0,"$279,656,424 ",5.83 
